# DEFERRED WIP — NOT ACTIVE (ghr-ktvy5 checkpoint 1c): dispositions below describe a
# CANDIDATE five-group policy. The active root baseline is `pedantic = warn` only.
# clippy 1.98.0 (88d9e12ae1 2026-08-18) active-lint disposition audit
# source: rustup run 1.98.0 clippy-driver -W help (822 active lints, 0 ungrouped)
# pilot: cargo clippy -p cherry-pit-core -p gh-report --all-targets -- -W clippy::{all,pedantic,nursery,restriction,cargo}
lint	default_level	groups	disposition	pilot_hits
result_large_err	warn	all,perf	retained	0
result_map_or_into_option	warn	all,style	retained	0
result_map_unit_fn	warn	all,complexity	retained	0
result_unit_err	warn	all,style	retained	0
return_and_then	allow	restriction	retained-scope-pending	3
return_self_not_must_use	allow	pedantic	retained	0
reversed_empty_ranges	deny	all,correctness	retained	0
same_functions_in_if_condition	allow	pedantic	retained	0
same_item_push	warn	all,style	retained	0
same_length_and_capacity	allow	pedantic	retained	0
same_name_method	allow	restriction	retained-scope-pending	7
search_is_some	allow	nursery	retained	0
seek_from_current	warn	all,complexity	retained	0
seek_to_start_instead_of_rewind	warn	all,complexity	retained	0
self_assignment	deny	all,correctness	retained	0
self_named_constructors	warn	all,style	retained	0
self_named_module_files	allow	restriction	excluded	0
self_only_used_in_recursion	allow	pedantic	retained	0
semicolon_if_nothing_returned	allow	pedantic	retained	0
semicolon_inside_block	allow	restriction	excluded	0
semicolon_outside_block	allow	restriction	excluded	15
separated_literal_suffix	allow	restriction	excluded	45
serde_api_misuse	deny	all,correctness	retained	0
set_contains_or_insert	allow	nursery	retained	0
shadow_reuse	allow	restriction	excluded	161
shadow_same	allow	restriction	excluded	6
shadow_unrelated	allow	restriction	retained-scope-pending	87
short_circuit_statement	warn	all,complexity	retained	0
should_implement_trait	warn	all,style	retained	0
should_panic_without_expect	allow	pedantic	retained	0
significant_drop_in_scrutinee	allow	nursery	retained-scope-pending	5
significant_drop_tightening	allow	nursery	retained-scope-pending	43
similar_names	allow	pedantic	retained	0
single_call_fn	allow	restriction	excluded	621
single_char_add_str	warn	all,style	retained	0
single_char_lifetime_names	allow	restriction	excluded	91
single_char_pattern	allow	pedantic	retained	0
single_component_path_imports	warn	all,style	retained	0
single_element_loop	warn	all,complexity	retained	0
single_match	warn	all,style	retained	0
single_match_else	allow	pedantic	retained	0
single_option_map	allow	nursery	retained	0
single_range_in_vec_init	warn	all,suspicious	retained	0
size_of_in_element_count	deny	all,correctness	retained	0
size_of_ref	warn	all,suspicious	retained	0
skip_while_next	warn	all,complexity	retained	0
sliced_string_as_bytes	warn	all,perf	retained	0
slow_vector_initialization	warn	all,perf	retained	0
some_filter	warn	all,complexity	retained	0
stable_sort_primitive	allow	pedantic	retained	0
std_instead_of_alloc	allow	restriction	excluded	160
std_instead_of_core	allow	restriction	excluded	659
str_split_at_newline	allow	pedantic	retained	0
str_to_string	allow	restriction	excluded	1569
string_add	allow	restriction	retained	0
string_add_assign	allow	pedantic	retained	0
string_extend_chars	warn	all,style	retained	0
string_from_utf8_as_bytes	warn	all,complexity	retained	0
string_lit_as_bytes	allow	nursery	retained-scope-pending	1
string_lit_chars_any	allow	restriction	retained	0
string_slice	allow	restriction	retained-scope-pending	141
strlen_on_c_strings	warn	all,complexity	retained	0
struct_excessive_bools	allow	pedantic	retained	0
struct_field_names	allow	pedantic	retained	0
suboptimal_flops	allow	nursery	retained	0
suspicious_arithmetic_impl	warn	all,suspicious	retained	0
suspicious_assignment_formatting	warn	all,suspicious	retained	0
suspicious_command_arg_space	warn	all,suspicious	retained	0
suspicious_doc_comments	warn	all,suspicious	retained	0
suspicious_else_formatting	warn	all,suspicious	retained	0
suspicious_map	warn	all,suspicious	retained	0
suspicious_op_assign_impl	warn	all,suspicious	retained	0
suspicious_open_options	warn	all,suspicious	retained	0
suspicious_operation_groupings	allow	nursery	retained	0
suspicious_splitn	deny	all,correctness	retained	0
suspicious_to_owned	warn	all,suspicious	retained	0
suspicious_unary_op_formatting	warn	all,suspicious	retained	0
suspicious_xor_used_as_pow	allow	restriction	retained	0
swap_ptr_to_ref	warn	all,suspicious	retained	0
swap_with_temporary	warn	all,complexity	retained	0
tabs_in_doc_comments	warn	all,style	retained	0
temporary_assignment	warn	all,complexity	retained	0
test_attr_in_doctest	warn	all,suspicious	retained	0
tests_outside_test_module	allow	restriction	excluded	79
to_digit_is_some	warn	all,style	retained	0
to_string_in_format_args	warn	all,perf	retained	0
to_string_trait_impl	warn	all,style	retained	0
todo	allow	restriction	retained	0
too_long_first_doc_paragraph	allow	nursery	retained-scope-pending	44
too_many_arguments	warn	all,complexity	retained	0
too_many_lines	allow	pedantic	retained	0
toplevel_ref_arg	warn	all,style	retained	0
trailing_empty_array	allow	nursery	retained	0
trait_duplication_in_bounds	allow	nursery	retained-scope-pending	4
transmute_bytes_to_str	warn	all,complexity	retained	0
transmute_int_to_bool	warn	all,complexity	retained	0
transmute_int_to_non_zero	warn	all,complexity	retained	0
transmute_null_to_fn	deny	all,correctness	retained	0
transmute_ptr_to_ptr	allow	pedantic	retained	0
transmute_ptr_to_ref	warn	all,complexity	retained	0
transmute_undefined_repr	allow	nursery	retained	0
transmutes_expressible_as_ptr_casts	warn	all,complexity	retained	0
transmuting_null	deny	all,correctness	retained	0
trim_split_whitespace	warn	all,style	retained	0
trivial_regex	allow	nursery	retained	0
trivially_copy_pass_by_ref	allow	pedantic	retained	0
try_err	allow	restriction	retained	0
tuple_array_conversions	allow	nursery	retained	0
type_complexity	warn	all,complexity	retained	0
type_id_on_box	warn	all,suspicious	retained	0
type_repetition_in_bounds	allow	nursery	retained	0
unbuffered_bytes	warn	all,perf	retained	0
unchecked_time_subtraction	allow	pedantic	retained	0
unconditional_recursion	warn	all,suspicious	retained	0
undocumented_unsafe_blocks	allow	restriction	excluded	0
unicode_not_nfc	allow	pedantic	retained	0
unimplemented	allow	restriction	retained	0
uninhabited_references	allow	nursery	retained	0
uninit_assumed_init	deny	all,correctness	retained	0
uninit_vec	deny	all,correctness	retained	0
uninlined_format_args	allow	pedantic	retained	0
unit_arg	warn	all,complexity	retained	0
unit_cmp	deny	all,correctness	retained	0
unit_hash	deny	all,correctness	retained	0
unit_return_expecting_ord	deny	all,correctness	retained	0
unnecessary_box_returns	allow	pedantic	retained	0
unnecessary_cast	warn	all,complexity	retained	0
unnecessary_clippy_cfg	warn	all,suspicious	retained	0
unnecessary_debug_formatting	allow	pedantic	retained	0
unnecessary_fallible_conversions	warn	all,style	retained	0
unnecessary_filter_map	warn	all,complexity	retained	0
unnecessary_find_map	warn	all,complexity	retained	0
unnecessary_first_then_check	warn	all,complexity	retained	0
unnecessary_fold	warn	all,style	retained	0
unnecessary_get_then_check	warn	all,complexity	retained	0
unnecessary_join	allow	pedantic	retained	0
unnecessary_lazy_evaluations	warn	all,style	retained	0
unnecessary_literal_bound	allow	pedantic	retained	0
unnecessary_literal_unwrap	warn	all,complexity	retained	0
unnecessary_map_on_constructor	warn	all,complexity	retained	0
unnecessary_map_or	warn	all,style	retained	0
unnecessary_min_or_max	warn	all,complexity	retained	0
unnecessary_mut_passed	warn	all,style	retained	0
unnecessary_operation	warn	all,complexity	retained	0
unnecessary_option_map_or_else	warn	all,suspicious	retained	0
unnecessary_owned_empty_strings	warn	all,style	retained	0
unnecessary_result_map_or_else	warn	all,suspicious	retained	0
unnecessary_safety_comment	allow	restriction	retained	0
unnecessary_safety_doc	allow	restriction	retained	0
unnecessary_self_imports	allow	restriction	retained	0
unnecessary_semicolon	allow	pedantic	retained	0
unnecessary_sort_by	warn	all,complexity	retained	0
unnecessary_struct_initialization	allow	nursery	retained	0
unnecessary_to_owned	warn	all,perf	retained	0
unnecessary_trailing_comma	allow	pedantic	retained	0
unnecessary_unwrap	warn	all,complexity	retained	0
unnecessary_unwrap_unchecked	warn	all,complexity	retained	0
unnecessary_wraps	allow	pedantic	retained	0
unneeded_field_pattern	allow	restriction	retained	0
unneeded_struct_pattern	warn	all,style	retained	0
unneeded_wildcard_pattern	warn	all,complexity	retained	0
unnested_or_patterns	allow	pedantic	retained	0
unreachable	allow	restriction	retained-scope-pending	4
unreadable_literal	allow	pedantic	retained	0
unsafe_derive_deserialize	allow	pedantic	retained	0
unsafe_removed_from_name	warn	all,style	retained	0
unseparated_literal_suffix	allow	restriction	excluded	96
unsound_collection_transmute	deny	all,correctness	retained	0
unused_async	allow	pedantic	retained	0
unused_async_trait_impl	allow	pedantic	retained	0
unused_enumerate_index	warn	all,style	retained	0
unused_format_specs	warn	all,complexity	retained	0
unused_io_amount	deny	all,correctness	retained	0
unused_peekable	allow	nursery	retained	0
unused_result_ok	allow	restriction	retained-scope-pending	1
unused_rounding	allow	nursery	retained	0
unused_self	allow	pedantic	retained	0
unused_trait_names	allow	restriction	excluded	89
unused_unit	warn	all,style	retained	0
unusual_byte_groupings	warn	all,style	retained	0
unwrap_in_result	allow	restriction	retained-scope-pending	9
unwrap_or_default	warn	all,style	retained	0
unwrap_used	allow	restriction	retained-scope-pending	938
upper_case_acronyms	warn	all,style	retained	0
use_debug	allow	restriction	excluded	1
use_self	allow	nursery	retained-scope-pending	86
used_underscore_binding	allow	pedantic	retained	0
used_underscore_items	allow	pedantic	retained	0
useless_asref	warn	all,complexity	retained	0
useless_attribute	deny	all,correctness	retained	0
useless_borrows_in_formatting	warn	all,perf	retained	0
useless_concat	warn	all,complexity	retained	0
useless_conversion	warn	all,complexity	retained	0
useless_format	warn	all,complexity	retained	0
useless_let_if_seq	allow	nursery	retained	0
useless_nonzero_new_unchecked	warn	all,complexity	retained	0
useless_transmute	warn	all,complexity	retained	0
useless_vec	warn	all,perf	retained	0
vec_box	warn	all,complexity	retained	0
vec_init_then_push	warn	all,perf	retained	0
vec_resize_to_zero	deny	all,correctness	retained	0
verbose_bit_mask	allow	pedantic	retained	0
verbose_file_reads	allow	restriction	retained	0
volatile_composites	allow	nursery	retained	0
waker_clone_wake	warn	all,perf	retained	0
while_float	allow	nursery	retained	0
while_immutable_condition	deny	all,correctness	retained	0
while_let_loop	warn	all,complexity	retained	0
while_let_on_iterator	warn	all,style	retained	0
wildcard_dependencies	allow	cargo	retained	0
wildcard_enum_match_arm	allow	restriction	retained-scope-pending	52
wildcard_imports	allow	pedantic	retained	0
wildcard_in_or_patterns	warn	all,complexity	retained	0
with_capacity_zero	allow	pedantic	retained	0
write_literal	warn	all,style	retained	0
write_with_newline	warn	all,style	retained	0
writeln_empty_string	warn	all,style	retained	0
wrong_self_convention	warn	all,style	retained	0
wrong_transmute	deny	all,correctness	retained	0
zero_divided_by_zero	warn	all,complexity	retained	0
zero_prefixed_literal	warn	all,complexity	retained	0
zero_ptr	warn	all,style	retained	0
zero_repeat_side_effects	warn	all,suspicious	retained	0
zero_sized_map_values	allow	pedantic	retained	0
zombie_processes	warn	all,suspicious	retained	0
zst_offset	deny	all,correctness	retained	0
